Codename,Versionnumbers,Initial releasedate,APIlevel,Ref.
No codename,1.0,September 23 2008,1,[2]
Petit Four (only internally used),1.1,February 9 2009,2,[2]
Cupcake,1.5,April 27 2009,3,
Donut,1.6,September 15 2009,4,[3]
Eclair,2.0 – 2.1,October 26 2009,5 – 7,[4]
Froyo,2.2 – 2.2.3,May 20 2010,8,[5]
Gingerbread,2.3 – 2.3.7,December 6 2010,9 – 10,[6]
Honeycomb,3.0 – 3.2.6,February 22 2011,11 – 13,[7]
Ice Cream Sandwich,4.0 – 4.0.4,October 18 2011,14 – 15,[8]
Jelly Bean,4.1 – 4.3.1,July 9 2012,16 – 18,[9]
KitKat,4.4 – 4.4.4,October 31 2013,19 – 20,[10]
Lollipop,5.0 – 5.1.1,November 12 2014,21 – 22,[11]
Marshmallow,6.0 – 6.0.1,October 5 2015,23,[12]
Nougat,7.0,August 22 2016,24,[13]
Old version no longer supported: 7.1,October 4 2016,25,
Older version yet still supported: 7.1.1 – 7.1.2,December 5 2016,25,[14]
Oreo,8.0,August 21 2017,26,[15]
Older version yet still supported: 8.1,December 5 2017,27,
Pie,9.0,August 6 2018,28,[16]
Android 10,10.0,September 3 2019,29,[17]
